ticker,name
2376.tw,技嘉
2377.tw,微星
2379.tw,瑞昱
2380.tw,虹光
2382.tw,廣達
2383.tw,台光電
2385.tw,群光
2387.tw,精元
2388.tw,威盛
2390.tw,云辰
2392.tw,正崴
2393.tw,億光
2395.tw,研華
2397.tw,友通
2399.tw,映泰
2401.tw,凌陽
2402.tw,毅嘉
2404.tw,漢唐
2405.tw,輔信
2406.tw,國碩
2408.tw,南亞科
2409.tw,友達
2412.tw,中華電
2413.tw,環科
2414.tw,精技
2415.tw,錩新
2417.tw,圓剛
2419.tw,仲琦
2420.tw,新巨
2421.tw,建準
2423.tw,固緯
2424.tw,隴華
2425.tw,承啟
2426.tw,鼎元
2427.tw,三商電
2428.tw,興勤
2429.tw,銘旺科
2430.tw,燦坤
2431.tw,聯昌
2433.tw,互盛電
2434.tw,統懋
2436.tw,偉詮電
2438.tw,翔耀
2439.tw,美律
2440.tw,太空梭
2441.tw,超豐
2442.tw,新美齊
2444.tw,兆勁
2449.tw,京元電子
2450.tw,神腦
2451.tw,創見
2453.tw,凌群
2454.tw,聯發科
2455.tw,全新
2457.tw,飛宏
2458.tw,義隆
2459.tw,敦吉
2460.tw,建通
2461.tw,光群雷
2462.tw,良得電
2464.tw,盟立
2465.tw,麗臺
2466.tw,冠西電
2467.tw,志聖
2468.tw,華經
2471.tw,資通
2472.tw,立隆電
2474.tw,可成
2476.tw,鉅祥
2477.tw,美隆電
2478.tw,大毅
2480.tw,敦陽科
2481.tw,強茂
2482.tw,連宇
2483.tw,百容
2484.tw,希華
2485.tw,兆赫
2486.tw,一詮
2488.tw,漢平
2489.tw,瑞軒
2491.tw,吉祥全
2492.tw,華新科
2493.tw,揚博
2495.tw,普安
2496.tw,卓越
2497.tw,怡利電
2498.tw,宏達電
2501.tw,國建
2504.tw,國產
2505.tw,國揚
2506.tw,太設
2509.tw,全坤建
2511.tw,太子
2514.tw,龍邦
2515.tw,中工
2516.tw,新建
2520.tw,冠德
2524.tw,京城
2527.tw,宏璟
2528.tw,皇普
2530.tw,華建
2534.tw,宏盛
2535.tw,達欣工
2536.tw,宏普
2537.tw,聯上發
2538.tw,基泰
2539.tw,櫻花建
2540.tw,愛山林
2542.tw,興富發
2543.tw,皇昌
2545.tw,皇翔
2546.tw,根基
2547.tw,日勝生
2548.tw,華固
2597.tw,潤弘
2601.tw,益航
2603.tw,長榮
2605.tw,新興
2606.tw,裕民
2607.tw,榮運
2608.tw,嘉里大榮
2609.tw,陽明
2610.tw,華航
2611.tw,志信
2612.tw,中航
2613.tw,中櫃
2614.tw,東森
2615.tw,萬海
2616.tw,山隆
2617.tw,台航
2618.tw,長榮航
2630.tw,亞航
2633.tw,台灣高鐵
2634.tw,漢翔
2636.tw,台驊控股
2637.tw,慧洋-KY
2642.tw,宅配通
2645.tw,長榮航太
2646.tw,星宇航空
2701.tw,萬企
2702.tw,華園
2704.tw,國賓
2705.tw,六福
2706.tw,第一店
2707.tw,晶華
2712.tw,遠雄來
2722.tw,夏都
2723.tw,美食-KY
2727.tw,王品
2731.tw,雄獅
2739.tw,寒舍
2748.tw,雲品
2753.tw,八方雲集
2762.tw,世界健身-KY
2801.tw,彰銀
2809.tw,京城銀
2812.tw,台中銀
2816.tw,旺旺保
2820.tw,華票
2832.tw,台產
2834.tw,臺企銀
2836.tw,高雄銀
2838.tw,聯邦銀
2845.tw,遠東銀
2849.tw,安泰銀
2850.tw,新產
2851.tw,中再保
2852.tw,第一保
2855.tw,統一證
2867.tw,三商壽
2880.tw,華南金
2881.tw,富邦金
2882.tw,國泰金
2883.tw,凱基金
2884.tw,玉山金
2885.tw,元大金
2886.tw,兆豐金
2887.tw,台新金
2888.tw,新光金
2889.tw,國票金
2890.tw,永豐金
2891.tw,中信金
2892.tw,第一金
2897.tw,王道銀行
2901.tw,欣欣
2903.tw,遠百
2904.tw,匯僑
2905.tw,三商
2906.tw,高林
2908.tw,特力
2910.tw,統領
2911.tw,麗嬰房
2912.tw,統一超
2913.tw,農林
2915.tw,潤泰全
2923.tw,鼎固-KY
2929.tw,淘帝-KY
2939.tw,永邑-KY
2945.tw,三商家購
3002.tw,歐格
3003.tw,健和興
3004.tw,豐達科
3005.tw,神基
3006.tw,晶豪科
3008.tw,大立光
3010.tw,華立
3011.tw,今皓
3013.tw,晟銘電
3014.tw,聯陽
3015.tw,全漢
3016.tw,嘉晶
3017.tw,奇鋐
3018.tw,隆銘綠能
3019.tw,亞光
3021.tw,鴻名
3022.tw,威強電
3023.tw,信邦
3024.tw,憶聲
3025.tw,星通
3026.tw,禾伸堂
3027.tw,盛達
3028.tw,增你強
3029.tw,零壹
3030.tw,德律
3031.tw,佰鴻
3032.tw,偉訓
3033.tw,威健
3034.tw,聯詠
3035.tw,智原
3036.tw,文曄
3037.tw,欣興
3038.tw,全台
3040.tw,遠見
3041.tw,揚智
3042.tw,晶技
3043.tw,科風
3044.tw,健鼎
3045.tw,台灣大
3046.tw,建��
3047.tw,訊舟
3048.tw,益登
3049.tw,精金
3050.tw,鈺德
3051.tw,力特
3052.tw,夆典
3054.tw,立萬利
3055.tw,蔚華科
3056.tw,富華新
3057.tw,喬鼎
3058.tw,立德
3059.tw,華晶科
3060.tw,銘異
3062.tw,建漢
3090.tw,日電貿
3092.tw,鴻碩
3094.tw,聯傑
3130.tw,一零四
3138.tw,耀登
3149.tw,正達
3164.tw,景岳
3167.tw,大量
3168.tw,眾福科
3189.tw,景碩
3209.tw,全科
3229.tw,晟鈦
3231.tw,緯創
3257.tw,虹冠電
3266.tw,昇陽
3296.tw,勝德
3305.tw,昇貿
3308.tw,聯德
3311.tw,閎暉
3312.tw,弘憶股
3321.tw,同泰
3338.tw,泰碩
3346.tw,麗清
3356.tw,奇偶
3376.tw,新日興
3380.tw,明泰
3406.tw,玉晶光
3413.tw,京鼎
3416.tw,融程電
3419.tw,譁裕
3432.tw,台端
3437.tw,榮創
3443.tw,創意
3447.tw,展達
3450.tw,聯鈞
3454.tw,晶睿
3481.tw,群創
3494.tw,誠研
3501.tw,維熹
3504.tw,揚明光
3515.tw,華擎
3518.tw,柏騰
3528.tw,安馳
3530.tw,晶相光
3532.tw,台勝科
3533.tw,嘉澤
3535.tw,晶彩科
3543.tw,州巧
3545.tw,敦泰
3550.tw,聯穎
3557.tw,嘉威
3563.tw,牧德
3576.tw,聯合再生
3583.tw,辛耘
3588.tw,通嘉
3591.tw,艾笛森
3592.tw,瑞鼎
3593.tw,力銘
3596.tw,智易
3605.tw,宏致
3607.tw,谷崧
3617.tw,碩天
3622.tw,洋華
3645.tw,達邁
3652.tw,精聯
3653.tw,健策
3661.tw,世芯-KY
3665.tw,貿聯-KY
3669.tw,圓展
3673.tw,TPK-KY
3679.tw,新至陞
3686.tw,達能
3694.tw,海華
3701.tw,大眾控
3702.tw,大聯大
3703.tw,欣陸
3704.tw,合勤控
3705.tw,永信
3706.tw,神達
3708.tw,上緯投控
3711.tw,日月光投控
3712.tw,永崴投控
3714.tw,富采
3715.tw,定穎投控
3716.tw,中化控股
4104.tw,佳醫
4106.tw,雃博
4108.tw,懷特
4119.tw,旭富
4133.tw,亞諾法
4137.tw,麗豐-KY
4142.tw,國光生
4148.tw,全宇生技-KY
4155.tw,訊映
4164.tw,承業醫
4190.tw,佐登-KY
4306.tw,炎洲
4414.tw,如興
4426.tw,利勤
4438.tw,廣越
4439.tw,冠星-KY
4440.tw,宜新實業
4526.tw,東台
4532.tw,瑞智
4536.tw,拓凱
4540.tw,全球傳動
4545.tw,銘鈺
4551.tw,智伸科
4552.tw,力達-KY
4555.tw,氣立
4557.tw,永新-KY
4560.tw,強信-KY
4562.tw,穎漢
